comparison	diff	lwr	upr	p.adj	Significance
 2-1	996.9999999999995	NA	NA	NA	NA
 3-1	1495.9999999999995	NA	NA	NA	NA
 4-1	4065.4999999999986	NA	NA	NA	NA
 5-1	2032.9999999999995	NA	NA	NA	NA
 6-1	2957.9999999999995	NA	NA	NA	NA
 7-1	3447.4999999999995	NA	NA	NA	NA
 3-2	499	NA	NA	NA	NA
 4-2	3068.499999999999	NA	NA	NA	NA
 5-2	1036	NA	NA	NA	NA
 6-2	1961	NA	NA	NA	NA
 7-2	2450.5	NA	NA	NA	NA
 4-3	2569.499999999999	NA	NA	NA	NA
 5-3	537	NA	NA	NA	NA
 6-3	1462	NA	NA	NA	NA
 7-3	1951.5	NA	NA	NA	NA
 5-4	-2032.499999999999	NA	NA	NA	NA
 6-4	-1107.499999999999	NA	NA	NA	NA
 7-4	-617.9999999999991	NA	NA	NA	NA
 6-5	925	NA	NA	NA	NA
 7-5	1414.5	NA	NA	NA	NA
 7-6	489.5	NA	NA	NA	NA
