comparison	diff	lwr	upr	p.adj	Significance
  2-1	-0.4297062888208444	NA	NA	NA	NA
  3-1	-0.44961043883612245	NA	NA	NA	NA
  4-1	-0.4720810026347763	NA	NA	NA	NA
  5-1	-0.4693544386474007	NA	NA	NA	NA
  6-1	-0.4720868990572209	NA	NA	NA	NA
  7-1	-0.47042945495759064	NA	NA	NA	NA
  3-2	-0.019904150015278115	NA	NA	NA	NA
  4-2	-0.042374713813931944	NA	NA	NA	NA
  5-2	-0.039648149826556345	NA	NA	NA	NA
  6-2	-0.04238061023637654	NA	NA	NA	NA
  7-2	-0.040723166136746286	NA	NA	NA	NA
  4-3	-0.02247056379865383	NA	NA	NA	NA
  5-3	-0.01974399981127823	NA	NA	NA	NA
  6-3	-0.022476460221098428	NA	NA	NA	NA
  7-3	-0.02081901612146817	NA	NA	NA	NA
  5-4	0.0027265639873755992	NA	NA	NA	NA
  6-4	-5.896422444598426e-6	NA	NA	NA	NA
  7-4	0.001651547677185658	NA	NA	NA	NA
  6-5	-0.0027324604098201977	NA	NA	NA	NA
  7-5	-0.0010750163101899413	NA	NA	NA	NA
  7-6	0.0016574440996302564	NA	NA	NA	NA
